===============================================================================
"EXTENSION NAME","linecount"
"EXTENSION VERSION","0.1.7"
-------------------------------------------------------------------------------

"count time","2017-11-07 15:39:11"
"count workspace","c:\dev\code\orpa"
"total files","400"
"total code lines","67518"
"total comment lines","6240"
"total blank lines","5729"


"filename","code","comment","blank"
".jshintrc","15","17","0"
".nodemonignore","2","4","0"
".npmignore","7","0","0"
".travis.yml","21","0","0"
"bin\node-red-pi","39","2","4"
"debug.log","1362","0","0"
"editor\favicon.ico","binary file"
"editor\icons\alert.png","binary file"
"editor\icons\arduino.png","binary file"
"editor\icons\arrow-in.png","binary file"
"editor\icons\bluetooth.png","binary file"
"editor\icons\bridge-dash.png","binary file"
"editor\icons\bridge.png","binary file"
"editor\icons\cog.png","binary file"
"editor\icons\comment.png","binary file"
"editor\icons\db.png","binary file"
"editor\icons\debug.png","binary file"
"editor\icons\envelope.png","binary file"
"editor\icons\feed.png","binary file"
"editor\icons\file.png","binary file"
"editor\icons\function.png","binary file"
"editor\icons\hash.png","binary file"
"editor\icons\inject.png","binary file"
"editor\icons\join.png","binary file"
"editor\icons\leveldb.png","binary file"
"editor\icons\light.png","binary file"
"editor\icons\link-out.png","binary file"
"editor\icons\mongodb.png","binary file"
"editor\icons\mouse.png","binary file"
"editor\icons\node-changed.png","binary file"
"editor\icons\node-error.png","binary file"
"editor\icons\parser-csv.png","binary file"
"editor\icons\parser-html.png","binary file"
"editor\icons\parser-json.png","binary file"
"editor\icons\parser-xml.png","binary file"
"editor\icons\parser-yaml.png","binary file"
"editor\icons\range.png","binary file"
"editor\icons\redis.png","binary file"
"editor\icons\rpi.png","binary file"
"editor\icons\serial.png","binary file"
"editor\icons\split.png","binary file"
"editor\icons\subflow.png","binary file"
"editor\icons\swap.png","binary file"
"editor\icons\switch.png","binary file"
"editor\icons\template.png","binary file"
"editor\icons\timer.png","binary file"
"editor\icons\trigger.png","binary file"
"editor\icons\twitter.png","binary file"
"editor\icons\watch.png","binary file"
"editor\icons\white-globe.png","binary file"
"editor\images\deploy-flows-o.png","binary file"
"editor\images\deploy-flows.png","binary file"
"editor\images\deploy-full-o.png","binary file"
"editor\images\deploy-full.png","binary file"
"editor\images\deploy-nodes-o.png","binary file"
"editor\images\deploy-nodes.png","binary file"
"editor\images\grip.png","binary file"
"editor\images\node-red-256.png","binary file"
"editor\images\node-red-icon-black.svg","9","0","0"
"editor\images\node-red-icon.svg","33","1","0"
"editor\images\node-red.png","binary file"
"editor\images\pw_maze_white.png","binary file"
"editor\images\spin.svg","36","1","5"
"editor\images\subflow_tab.png","binary file"
"editor\images\typedInput\09.png","binary file"
"editor\images\typedInput\az.png","binary file"
"editor\images\typedInput\bin.png","binary file"
"editor\images\typedInput\bool.png","binary file"
"editor\images\typedInput\expr.png","binary file"
"editor\images\typedInput\json.png","binary file"
"editor\images\typedInput\re.png","binary file"
"editor\js\comms.js","138","16","10"
"editor\js\events.js","35","15","3"
"editor\js\history.js","302","18","10"
"editor\js\i18n.js","65","15","6"
"editor\js\keymap.json","42","0","1"
"editor\js\main.js","256","31","24"
"editor\js\nodes.js","1231","54","73"
"editor\js\red.js","1","15","0"
"editor\js\settings.js","116","22","14"
"editor\js\text\bidi.js","82","38","10"
"editor\js\text\format.js","1222","48","62"
"editor\js\ui\actions.js","33","0","2"
"editor\js\ui\clipboard.js","334","16","30"
"editor\js\ui\common\checkboxSet.js","110","17","4"
"editor\js\ui\common\editableList.js","272","43","12"
